scenario,commodity,weight ,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
neutral,gas,W_g,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
neutral,electricity,W_e,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
neutral,gas,W_ge,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
neutral,gas,W_gs,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
neutral,electricity,W_ee,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
neutral,electricity,W_es,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
gas-economic,gas,W_g,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
gas-economic,electricity,W_e,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
gas-economic,gas,W_ge,0.5,0.533333,0.566667,0.6,0.633333,0.666667,0.7,0.733333,0.766667,0.8,0.833333,0.866667,0.9,0.933333,0.966667,1.0
gas-economic,gas,W_gs,0.5,0.46666700000000005,0.43333299999999997,0.4,0.36666699999999997,0.333333,0.30000000000000004,0.266667,0.233333,0.19999999999999996,0.166667,0.13333300000000003,0.09999999999999998,0.06666700000000003,0.033332999999999946,0.0
gas-economic,electricity,W_ee,0.5,0.533333,0.566667,0.6,0.633333,0.666667,0.7,0.733333,0.766667,0.8,0.833333,0.866667,0.9,0.933333,0.966667,1.0
gas-economic,electricity,W_es,0.5,0.46666700000000005,0.43333299999999997,0.4,0.36666699999999997,0.333333,0.30000000000000004,0.266667,0.233333,0.19999999999999996,0.166667,0.13333300000000003,0.09999999999999998,0.06666700000000003,0.033332999999999946,0.0
gas-social,gas,W_g,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
gas-social,electricity,W_e,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
gas-social,gas,W_ge,0.5,0.46666700000000005,0.43333299999999997,0.4,0.36666699999999997,0.333333,0.30000000000000004,0.266667,0.233333,0.19999999999999996,0.166667,0.13333300000000003,0.09999999999999998,0.06666700000000003,0.033332999999999946,0.0
gas-social,gas,W_gs,0.5,0.533333,0.566667,0.6,0.633333,0.666667,0.7,0.733333,0.766667,0.8,0.833333,0.866667,0.9,0.933333,0.966667,1.0
gas-social,electricity,W_ee,0.5,0.46666700000000005,0.43333299999999997,0.4,0.36666699999999997,0.333333,0.30000000000000004,0.266667,0.233333,0.19999999999999996,0.166667,0.13333300000000003,0.09999999999999998,0.06666700000000003,0.033332999999999946,0.0
gas-social,electricity,W_es,0.5,0.533333,0.566667,0.6,0.633333,0.666667,0.7,0.733333,0.766667,0.8,0.833333,0.866667,0.9,0.933333,0.966667,1.0
electricity-economic,gas,W_g,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
electricity-economic,electricity,W_e,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
electricity-economic,gas,W_ge,0.5,0.533333,0.566667,0.6,0.633333,0.666667,0.7,0.733333,0.766667,0.8,0.833333,0.866667,0.9,0.933333,0.966667,1.0
electricity-economic,gas,W_gs,0.5,0.46666700000000005,0.43333299999999997,0.4,0.36666699999999997,0.333333,0.30000000000000004,0.266667,0.233333,0.19999999999999996,0.166667,0.13333300000000003,0.09999999999999998,0.06666700000000003,0.033332999999999946,0.0
electricity-economic,electricity,W_ee,0.5,0.533333,0.566667,0.6,0.633333,0.666667,0.7,0.733333,0.766667,0.8,0.833333,0.866667,0.9,0.933333,0.966667,1.0
electricity-economic,electricity,W_es,0.5,0.46666700000000005,0.43333299999999997,0.4,0.36666699999999997,0.333333,0.30000000000000004,0.266667,0.233333,0.19999999999999996,0.166667,0.13333300000000003,0.09999999999999998,0.06666700000000003,0.033332999999999946,0.0
electricity-social,gas,W_g,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
