Inundation Analysis Results
"8770777 Manchester,  TX" 
from 1950-08-01 to 2025-07-31 (Hourly Data)
Threshold 1.405 Meters above NAVD88
24 Inundations - 
Total Duration: 291.0 Hours (0.04%)

Time of the Tide, Period Start, Period End,Maximum Elevation above Threshold,Maximum Elevation (Meters),Tide Type, Duration (Hours)
1998-09-10 17:00, 1998-09-10 11:00, 1998-09-10 21:00, 0.327, 1.732, --, 11
1998-09-11 16:00, 1998-09-11 00:00, 1998-09-12 12:00, 1.023, 2.428, --, 37
2001-06-06 02:00, 2001-06-05 23:00, 2001-06-06 06:00, 0.786, 2.191, --, 8
2001-06-09 14:00, 2001-06-09 07:00, 2001-06-09 23:00, 1.022, 2.427, --, 17
2002-09-07 14:00, 2002-09-07 13:00, 2002-09-07 14:00, 0.032, 1.437, --, 2
2015-06-16 15:00, 2015-06-16 15:00, 2015-06-16 15:00, 0.029, 1.434, --, 1
2015-10-25 08:00, 2015-10-25 07:00, 2015-10-25 08:00, 0.026, 1.431, --, 2
2015-10-25 13:00, 2015-10-25 12:00, 2015-10-25 13:00, 0.025, 1.430, --, 2
2015-10-31 16:00, 2015-10-31 08:00, 2015-10-31 20:00, 0.741, 2.146, --, 13
2016-04-18 14:00, 2016-04-18 11:00, 2016-04-18 23:00, 0.587, 1.992, --, 13
2017-08-26 16:00, 2017-08-26 13:00, 2017-08-26 20:00, 0.457, 1.862, --, 8
2017-08-29 10:00, 2017-08-27 04:00, 2017-08-31 11:00, 2.311, 3.716, --, 104
2019-05-10 04:00, 2019-05-10 04:00, 2019-05-10 05:00, 0.145, 1.550, --, 2
2019-09-19 20:00, 2019-09-19 19:00, 2019-09-19 23:00, 0.192, 1.597, --, 5
2019-09-20 10:00, 2019-09-20 10:00, 2019-09-20 10:00, 0.001, 1.406, --, 1
2019-09-20 12:00, 2019-09-20 12:00, 2019-09-20 12:00, 0.004, 1.409, --, 1
2020-09-21 13:00, 2020-09-21 09:00, 2020-09-21 16:00, 0.056, 1.461, --, 8
2020-09-22 16:00, 2020-09-22 04:00, 2020-09-22 20:00, 0.520, 1.925, --, 17
2020-09-23 08:00, 2020-09-23 06:00, 2020-09-23 11:00, 0.119, 1.524, --, 6
2021-09-14 11:00, 2021-09-14 08:00, 2021-09-14 15:00, 0.914, 2.319, --, 8
2024-06-19 16:00, 2024-06-19 16:00, 2024-06-19 16:00, 0.006, 1.411, --, 1
2024-06-19 22:00, 2024-06-19 19:00, 2024-06-19 23:00, 0.124, 1.529, --, 5
2024-06-20 14:00, 2024-06-20 14:00, 2024-06-20 17:00, 0.081, 1.486, --, 4
2024-07-08 15:00, 2024-07-08 11:00, 2024-07-09 01:00, 1.798, 3.203, --, 15
