lon,lat,process,confidence,scenario,quantile,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
29,-95,total,medium,SSP1-1.9,5,0.134,0.167,0.21650000000000003,0.266,0.32,0.374,0.4155,0.457,0.506,0.555,0.5905,0.626,0.657,0.688,0.7224999999999999,0.757
29,-95,total,medium,SSP1-1.9,17,0.16399999999999998,0.207,0.259,0.311,0.367,0.423,0.4685,0.514,0.5635,0.613,0.651,0.689,0.726,0.763,0.8029999999999999,0.843
29,-95,total,medium,SSP1-1.9,50,0.2025,0.259,0.314,0.369,0.4295,0.49,0.542,0.594,0.6475,0.701,0.7475,0.794,0.8420000000000001,0.89,0.9395,0.989
29,-95,total,medium,SSP1-1.9,83,0.245,0.316,0.3775,0.439,0.5085,0.578,0.6405,0.703,0.7655,0.828,0.8859999999999999,0.944,1.0055,1.067,1.1280000000000001,1.189
29,-95,total,medium,SSP1-1.9,95,0.28049999999999997,0.363,0.431,0.499,0.5765,0.654,0.7265,0.799,0.8685,0.938,1.0055,1.073,1.1465,1.22,1.29,1.36
29,-95,total,medium,SSP1-2.6,5,0.154,0.201,0.2465,0.292,0.3375,0.383,0.433,0.483,0.5315,0.58,0.615,0.65,0.6905,0.731,0.772,0.813
29,-95,total,medium,SSP1-2.6,17,0.177,0.228,0.278,0.328,0.3765,0.425,0.47550000000000003,0.526,0.5780000000000001,0.63,0.6715,0.713,0.7575000000000001,0.802,0.8475,0.893
29,-95,total,medium,SSP1-2.6,50,0.21100000000000002,0.268,0.325,0.382,0.438,0.494,0.546,0.598,0.6579999999999999,0.718,0.7729999999999999,0.828,0.8795,0.931,0.9845,1.038
29,-95,total,medium,SSP1-2.6,83,0.2495,0.315,0.3815,0.448,0.5145,0.581,0.6399999999999999,0.699,0.7715,0.844,0.9159999999999999,0.988,1.0535,1.119,1.1840000000000002,1.249
29,-95,total,medium,SSP1-2.6,95,0.27899999999999997,0.352,0.427,0.502,0.5780000000000001,0.654,0.7225,0.791,0.8745,0.958,1.0419999999999998,1.126,1.2014999999999998,1.277,1.355,1.433
29,-95,total,medium,SSP2-4.5,5,0.147,0.191,0.2395,0.288,0.3355,0.383,0.438,0.493,0.5489999999999999,0.605,0.6585,0.712,0.7625,0.813,0.8505,0.888
29,-95,total,medium,SSP2-4.5,17,0.17149999999999999,0.22,0.273,0.326,0.3795,0.433,0.48850000000000005,0.544,0.603,0.662,0.7195,0.777,0.8325,0.888,0.9355,0.983
29,-95,total,medium,SSP2-4.5,50,0.20700000000000002,0.264,0.3235,0.383,0.447,0.511,0.5705,0.63,0.6955,0.761,0.8285,0.896,0.96,1.024,1.0899999999999999,1.156
29,-95,total,medium,SSP2-4.5,83,0.2465,0.312,0.3815,0.451,0.528,0.605,0.6735,0.742,0.8205,0.899,0.9815,1.064,1.147,1.23,1.3185,1.407
29,-95,total,medium,SSP2-4.5,95,0.27649999999999997,0.35,0.4275,0.505,0.5925,0.68,0.758,0.836,0.9264999999999999,1.017,1.1145,1.212,1.309,1.406,1.512,1.618
29,-95,total,medium,SSP3-7.0,5,0.1495,0.194,0.2455,0.297,0.34950000000000003,0.402,0.4555,0.509,0.5700000000000001,0.631,0.694,0.757,0.8235,0.89,0.962,1.034
29,-95,total,medium,SSP3-7.0,17,0.175,0.224,0.2785,0.333,0.39,0.447,0.504,0.561,0.6265000000000001,0.692,0.7585,0.825,0.8945,0.964,1.042,1.12
29,-95,total,medium,SSP3-7.0,50,0.21200000000000002,0.269,0.328,0.387,0.4515,0.516,0.581,0.646,0.7190000000000001,0.792,0.8674999999999999,0.943,1.0225,1.102,1.191,1.28
29,-95,total,medium,SSP3-7.0,83,0.253,0.319,0.3855,0.452,0.5275,0.603,0.6805,0.758,0.8460000000000001,0.934,1.0265,1.119,1.2185000000000001,1.318,1.4264999999999999,1.535
29,-95,total,medium,SSP3-7.0,95,0.2855,0.359,0.432,0.505,0.5905,0.676,0.766,0.856,0.9575,1.059,1.168,1.277,1.395,1.513,1.6415,1.77
29,-95,total,medium,SSP5-8.5,5,0.1565,0.199,0.248,0.297,0.3545,0.412,0.47150000000000003,0.531,0.5945,0.658,0.7190000000000001,0.78,0.8505,0.921,0.979,1.037
29,-95,total,medium,SSP5-8.5,17,0.179,0.228,0.28250000000000003,0.337,0.3985,0.46,0.522,0.584,0.6525,0.721,0.7895,0.858,0.9344999999999999,1.011,1.0825,1.154
29,-95,total,medium,SSP5-8.5,50,0.21050000000000002,0.269,0.3325,0.396,0.466,0.536,0.6040000000000001,0.672,0.75,0.828,0.913,0.998,1.087,1.176,1.2734999999999999,1.371
29,-95,total,medium,SSP5-8.5,83,0.2465,0.316,0.392,0.468,0.549,0.63,0.7110000000000001,0.792,0.887,0.982,1.089,1.196,1.311,1.426,1.555,1.684
29,-95,total,medium,SSP5-8.5,95,0.27549999999999997,0.354,0.4395,0.525,0.6165,0.708,0.8015,0.895,1.006,1.117,1.2429999999999999,1.369,1.508,1.647,1.8035,1.96
