asset,level_index,height_increment_m,cost
PV,0,0.0,0.0
PV,1,0.5,31339.818359375
PV,2,1.0,72000.0
PV,3,1.5,117122.953125
PV,4,2.0,165412.578125
PV,5,2.5,216202.40625
PV,6,3.0,269077.90625
Substation1,0,0.0,0.0
Substation1,1,0.5,38383.28125
Substation1,2,1.0,88181.6328125
Substation1,3,1.5,143445.734375
Substation1,4,2.0,202588.203125
Substation1,5,2.5,264792.78125
Substation1,6,3.0,329551.78125
Substation2,0,0.0,0.0
Substation2,1,0.5,38383.28125
Substation2,2,1.0,88181.6328125
Substation2,3,1.5,143445.734375
Substation2,4,2.0,202588.203125
Substation2,5,2.5,264792.78125
Substation2,6,3.0,329551.78125
Compressor1,0,0.0,0.0
Compressor1,1,0.5,22160.59765625
Compressor1,2,1.0,50911.6875
Compressor1,3,1.5,82818.4296875
Compressor1,4,2.0,116964.3515625
Compressor1,5,2.5,152878.1875
Compressor1,6,3.0,190266.8125
Compressor2,0,0.0,0.0
Compressor2,1,0.5,22160.59765625
Compressor2,2,1.0,50911.6875
Compressor2,3,1.5,82818.4296875
Compressor2,4,2.0,116964.3515625
Compressor2,5,2.5,152878.1875
Compressor2,6,3.0,190266.8125
Compressor3,0,0.0,0.0
Compressor3,1,0.5,22160.59765625
Compressor3,2,1.0,50911.6875
Compressor3,3,1.5,82818.4296875
Compressor3,4,2.0,116964.3515625
Compressor3,5,2.5,152878.1875
Compressor3,6,3.0,190266.8125
ThermalUnit,0,0.0,0.0
ThermalUnit,1,0.5,44321.1953125
ThermalUnit,2,1.0,101823.375
ThermalUnit,3,1.5,165636.859375
ThermalUnit,4,2.0,233928.703125
ThermalUnit,5,2.5,305756.375
ThermalUnit,6,3.0,380533.625
LNG,0,0.0,0.0
LNG,1,0.5,54282.16015625
LNG,2,1.0,124707.6640625
LNG,3,1.5,202862.90625
LNG,4,2.0,286503.0
LNG,5,2.5,374473.5625
LNG,6,3.0,466056.625
