action_level_PV,action_level_Substation1,action_level_Substation2,action_level_Compressor1,action_level_Compressor2,action_level_Compressor3,action_level_ThermalUnit,action_level_LNG,intended_height_PV,intended_height_Substation1,intended_height_Substation2,intended_height_Compressor1,intended_height_Compressor2,intended_height_Compressor3,intended_height_ThermalUnit,intended_height_LNG,executed_height_PV,executed_height_Substation1,executed_height_Substation2,executed_height_Compressor1,executed_height_Compressor2,executed_height_Compressor3,executed_height_ThermalUnit,executed_height_LNG,weight_W_g,weight_W_e,weight_W_ge,weight_W_gs,weight_W_ee,weight_W_es,cost_PV,cost_Substation1,cost_Substation2,cost_Compressor1,cost_Compressor2,cost_Compressor3,cost_ThermalUnit,cost_LNG,econ_impact,social_impact,action_gain,climate_drift,prev_loss,base_loss,new_loss,expected_depth_mean_PV,expected_depth_mean_Substation1,expected_depth_mean_Substation2,expected_depth_mean_Compressor1,expected_depth_mean_Compressor2,expected_depth_mean_Compressor3,expected_depth_mean_ThermalUnit,expected_depth_mean_LNG,expected_depth_p95_PV,expected_depth_p95_Substation1,expected_depth_p95_Substation2,expected_depth_p95_Compressor1,expected_depth_p95_Compressor2,expected_depth_p95_Compressor3,expected_depth_p95_ThermalUnit,expected_depth_p95_LNG,expected_depth_max_PV,expected_depth_max_Substation1,expected_depth_max_Substation2,expected_depth_max_Compressor1,expected_depth_max_Compressor2,expected_depth_max_Compressor3,expected_depth_max_ThermalUnit,expected_depth_max_LNG,repeat_penalty,unused_budget_penalty,over_budget_penalty,over_budget_amount,normalized_cost,normalized_unused_budget,repeat_penalty_assets,trimmed_assets,total_cost,unused_budget,sea_level_offset,sea_level_delta,climate_scenario,reward,obs_json,year,episode,step_in_episode,cumulative_spend,cumulative_budget_cap,cumulative_height_PV,cumulative_height_Substation1,cumulative_height_Substation2,cumulative_height_Compressor1,cumulative_height_Compressor2,cumulative_height_Compressor3,cumulative_height_ThermalUnit,cumulative_height_LNG,total_cumulative_height,reward_delta_component,unused_budget_penalty_signed,over_budget_penalty_signed
4,0,0,0,0,0,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,165412.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008808719227090478,0.00466077052988112,0.0013674621004611254,0.00022913876455277205,0.004505695775151253,0.004734834539704025,0.0033673724392428994,0.21339990198612213,0.17420083284378052,0.163887158036232,0.16358619928359985,0.15328671038150787,0.17292514443397522,0.17564092576503754,0.2267000675201416,0.15328671038150787,0.15328671038150787,0.15328671038150787,0.15328671038150787,0.15328671038150787,0.15328671038150787,0.15328671038150787,0.15328671038150787,5.465813159942627,3.7535417079925537,2.8365676403045654,2.8018157482147217,0.15328671038150787,3.6583406925201416,3.8523287773132324,5.796975135803223,0.0,0.2676699375,0.0,0.0,0.33082515625,0.66917484375,[],[],165412.578125,334587.421875,0.15328671038150787,0.15328671038150787,SSP5-8.5,13.39221009340024,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.005202040076255798, 0.0038093512412160635]",0,0,0,165412.578125,500000.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.65988003090024,-0.2676699375,-0.0
4,0,0,0,0,0,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008963803295046091,0.004818765330128372,0.0,7.826971705071628e-05,0.0033673724392428994,0.0034456421562936157,0.0034456421562936157,0.27320730686187744,0.23276716470718384,0.2221745103597641,0.22186869382858276,0.21105779707431793,0.23145340383052826,0.23425324261188507,0.28701120615005493,0.21105779707431793,0.21105779707431793,0.21105779707431793,0.21105779707431793,0.21105779707431793,0.21105779707431793,0.21105779707431793,0.21105779707431793,5.523583889007568,3.8113129138946533,2.894338846206665,2.8595869541168213,0.21105779707431793,3.716111898422241,3.910099983215332,5.854745864868164,-0.25,0.4,0.0,0.0,0.0,1.0,[0],[],0.0,500000.0,0.21105779707431793,0.05777108669281006,SSP5-8.5,-1.5892366046085953,"[0.008888889104127884, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06666667014360428, 0.019160838797688484, 0.004404359497129917, 0.002330385148525238]",5,0,1,165412.578125,1000000.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-0.9392366046085954,-0.4,-0.0
4,0,0,0,0,0,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,165412.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008030068827793002,0.003008276311447844,0.0007577493161079474,7.169344462454319e-05,0.0034456421562936157,0.003517335600918159,0.0027595862848102115,0.34338125586509705,0.3013523519039154,0.2903747856616974,0.29005923867225647,0.278674840927124,0.2999833822250366,0.30287978053092957,0.3578815162181854,0.278674840927124,0.278674840927124,0.278674840927124,0.278674840927124,0.278674840927124,0.278674840927124,0.278674840927124,0.278674840927124,5.591200828552246,3.878929853439331,2.9619557857513428,2.927203893661499,0.278674840927124,3.783728837966919,3.9777169227600098,5.92236328125,0.0,0.2676699375,0.0,0.0,0.33082515625,0.66917484375,[],[],165412.578125,334587.421875,0.278674840927124,0.06761704385280609,SSP5-8.5,7.96500052030085,"[0.008888889104127884, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13333334028720856, 0.02638222463428974, 0.004481901414692402, 0.0024093827232718468]",10,0,2,330825.15625,1500000.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.23267045780085,-0.2676699375,-0.0
4,0,0,0,0,0,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007978670299053192,0.003047007427085191,0.0,-3.166853275615722e-06,0.0027595862848102115,0.002756419431534596,0.002756419431534596,0.4377595782279968,0.39345818758010864,0.3819883465766907,0.3816547393798828,0.36945390701293945,0.3920378088951111,0.3950633108615875,0.4531933069229126,0.36945390701293945,0.36945390701293945,0.36945390701293945,0.36945390701293945,0.36945390701293945,0.36945390701293945,0.36945390701293945,0.43738390505313873,5.681980133056641,3.9697089195251465,3.052734851837158,3.0179829597473145,0.36945390701293945,3.8745079040527344,4.068495750427246,6.013142108917236,-0.25,0.4,0.0,0.0,0.0,1.0,[0],[],0.0,500000.0,0.36945390701293945,0.09077906608581543,SSP5-8.5,-0.6119977606926114,"[0.017777778208255768, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.20000000298023224, 0.0348343551158905, 0.004015034530311823, 0.0015041381120681763]",15,0,3,330825.15625,2000000.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.03800223930738866,-0.4,-0.0
4,0,0,0,0,0,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,165412.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008069566218182445,0.0027021990390494466,0.0001803347113309428,0.00011685659410431981,0.002756419431534596,0.0028732760256389156,0.002692941314307973,0.470192015171051,0.42503151297569275,0.41337063908576965,0.4130321443080902,0.40057528018951416,0.42358827590942383,0.4266623258590698,0.4859861731529236,0.40057528018951416,0.40057528018951416,0.40057528018951416,0.40057528018951416,0.40057528018951416,0.40057528018951416,0.40057528018951416,0.46850527822971344,5.713101387023926,4.000830173492432,3.0838561058044434,3.0491042137145996,0.40057528018951416,3.9056291580200195,4.0996174812316895,6.0442633628845215,0.0,0.2676699375,0.0,0.0,0.33082515625,0.66917484375,[],[],165412.578125,334587.421875,0.40057528018951416,0.031121373176574707,SSP5-8.5,0.494067469219476,"[0.017777778208255768, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2666666805744171, 0.04618173837661743, 0.003989335149526596, 0.001523503684438765]",20,0,4,496237.734375,2500000.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.761737406719476,-0.2676699375,-0.0
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008101442363113165,0.002757921589363832,0.0,2.1899673811276443e-05,0.002692941314307973,0.0027148409881192492,0.0027148409881192492,0.5979717373847961,0.5494462251663208,0.5370526909828186,0.5366940498352051,0.5230856537818909,0.5479020476341248,0.5511935949325562,0.6152425408363342,0.5230856537818909,0.5230856537818909,0.5230856537818909,0.5230856537818909,0.5230856537818909,0.5230856537818909,0.5230856537818909,0.7526316493749619,5.835611820220947,4.123340606689453,3.206366539001465,3.171614646911621,0.5230856537818909,4.028139591217041,4.222127914428711,6.166773796081543,0.0,0.4,0.0,0.0,0.0,1.0,[],[],0.0,500000.0,0.5230856537818909,0.12251037359237671,SSP5-8.5,-0.6627960857353173,"[0.02666666731238365, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3333333432674408, 0.05007191002368927, 0.004034783225506544, 0.0013510994613170624]",25,0,5,496237.734375,3000000.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,-0.2627960857353173,-0.4,-0.0
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00837746006436646,0.0029424543463392183,0.0,0.00011513761455717031,0.0027148409881192492,0.0028299786026764195,0.0028299786026764195,0.7108380794525146,0.6590094566345215,0.6459169983863831,0.6455346941947937,0.6308752298355103,0.6573777198791504,0.6608738899230957,0.7295240759849548,0.6308752298355103,0.6308752298355103,0.6308752298355103,0.6308752298355103,0.6308752298355103,0.6308752298355103,0.6308752298355103,0.9412292242050171,5.943401336669922,4.231130123138428,3.3141560554504395,3.2794041633605957,0.6308752298355103,4.135929107666016,4.3299174308776855,6.274563312530518,0.0,0.4,0.0,0.0,0.0,1.0,[],[],0.0,500000.0,0.6308752298355103,0.10778957605361938,SSP5-8.5,-1.7816513746860436,"[0.02666666731238365, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4000000059604645, 0.06538570672273636, 0.004050721414387226, 0.0013789607910439372]",30,0,6,496237.734375,3500000.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,-1.3816513746860437,-0.4,-0.0
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008436284493654966,0.00292393789277412,0.0,1.007699393085204e-05,0.0028299786026764195,0.0028400555966072716,0.0028400555966072716,0.7426787614822388,0.6898327469825745,0.6765482425689697,0.6761590242385864,0.6611928939819336,0.6881705522537231,0.6917312741279602,0.7617989778518677,0.7211928926408291,0.6611928939819336,0.6611928939819336,0.6611928939819336,0.6611928939819336,0.6611928939819336,0.6611928939819336,1.0523549020290375,5.973719120025635,4.261447906494141,3.3444738388061523,3.3097219467163086,0.6611928939819336,4.1662468910217285,4.360235214233398,6.3048810958862305,0.0,0.4,0.0,0.0,0.0,1.0,[],[],0.0,500000.0,0.6611928939819336,0.03031766414642334,SSP5-8.5,-0.5209239271702245,"[0.02666666731238365, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.46666666865348816, 0.07885940372943878, 0.004188729915767908, 0.0014712271513417363]",35,0,7,496237.734375,4000000.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,-0.12092392717022449,-0.4,-0.0
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008556216955184937,0.002984604478115216,0.0,4.514976171776652e-05,0.0028400555966072716,0.002885205358325038,0.002885205358325038,0.8599527478218079,0.803342878818512,0.7892902493476868,0.7888780832290649,0.7727441191673279,0.8015702366828918,0.8053698539733887,0.8807719945907593,0.9135521203279495,0.7727441191673279,0.7727441191673279,0.7727441191673279,0.7727441191673279,0.7727441191673279,0.7727441191673279,1.2447151243686676,6.085270404815674,4.37299919128418,3.4560251235961914,3.4212732315063477,0.7727441191673279,4.277798175811768,4.471786022186279,6.4164323806762695,0.0,0.4,0.0,0.0,0.0,1.0,[],[],0.0,500000.0,0.7727441191673279,0.11155122518539429,SSP5-8.5,-0.9417971406131983,"[0.02666666731238365, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5333333611488342, 0.0826491117477417, 0.004218142479658127, 0.0014619689900428057]",40,0,8,496237.734375,4500000.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,-0.5417971406131983,-0.4,-0.0
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009006974752992392,0.0032077464857138693,0.0,0.00016847495135152712,0.002885205358325038,0.0030536803096765652,0.0030536803096765652,0.9835822582244873,0.9225354194641113,0.9075537919998169,0.9071242213249207,0.8897969126701355,0.9206389784812927,0.9246663451194763,1.0063328742980957,1.111413910984993,0.8897969126701355,0.8897969126701355,0.8897969126701355,0.8897969126701355,0.8897969126701355,0.8897969126701355,1.4425759315490723,6.202322959899902,4.490051746368408,3.573077917098999,3.5383260250091553,0.8897969126701355,4.394850730895996,4.588839054107666,6.533484935760498,0.0,0.4,0.0,0.0,0.0,1.0,[],[],0.0,500000.0,0.8897969126701355,0.11705279350280762,SSP5-8.5,-2.4216994162183254,"[0.02666666731238365, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6000000238418579, 0.09659301489591599, 0.004278108477592468, 0.0014923022827133536]",45,0,9,496237.734375,5000000.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,-2.0216994162183255,-0.4,-0.0
