action,obs,reward
6,"[0.         0.         0.         0.         0.         0.02
 0.         0.         0.02       0.0001834  0.00022103]",0.0010316411214717665
4,"[0.         0.         0.         0.02       0.         0.02
 0.         0.         0.04       0.00011181 0.00023112]",3.0749531723558914e-05
1,"[2.0000000e-02 0.0000000e+00 0.0000000e+00 2.0000000e-02 0.0000000e+00
 2.0000000e-02 0.0000000e+00 0.0000000e+00 5.9999999e-02 8.6722452e-05
 1.0249267e-04]",7.685464914189652e-05
1,"[3.9999999e-02 0.0000000e+00 0.0000000e+00 2.0000000e-02 0.0000000e+00
 2.0000000e-02 0.0000000e+00 0.0000000e+00 7.9999998e-02 4.6858720e-05
 2.6600026e-05]",5.787818806944415e-05
1,"[5.9999999e-02 0.0000000e+00 0.0000000e+00 2.0000000e-02 0.0000000e+00
 2.0000000e-02 0.0000000e+00 0.0000000e+00 1.0000000e-01 4.7784353e-05
 2.6650754e-05]",-4.88180136308075e-07
1,"[7.9999998e-02 0.0000000e+00 0.0000000e+00 2.0000000e-02 0.0000000e+00
 2.0000000e-02 0.0000000e+00 0.0000000e+00 1.2000000e-01 4.2400014e-05
 2.2195354e-05]",4.91986934794113e-06
1,"[1.0000000e-01 0.0000000e+00 0.0000000e+00 2.0000000e-02 0.0000000e+00
 2.0000000e-02 0.0000000e+00 0.0000000e+00 1.4000000e-01 5.5804045e-05
 3.3593646e-05]",-1.2401159827131783e-05
1,"[1.20000005e-01 0.00000000e+00 0.00000000e+00 1.99999996e-02
 0.00000000e+00 1.99999996e-02 0.00000000e+00 0.00000000e+00
 1.59999996e-01 2.95953323e-05 1.44141086e-05]",2.269412491470576e-05
1,"[1.4000002e-01 0.0000000e+00 0.0000000e+00 2.0000000e-02 0.0000000e+00
 2.0000000e-02 0.0000000e+00 0.0000000e+00 1.8000001e-01 6.4219763e-05
 3.4839759e-05]",-2.752504082163796e-05
1,"[1.6000001e-01 0.0000000e+00 0.0000000e+00 2.0000000e-02 0.0000000e+00
 2.0000000e-02 0.0000000e+00 0.0000000e+00 2.0000000e-01 6.3303305e-05
 3.6015794e-05]",-1.2978880899027052e-07
1,"[1.8000002e-01 0.0000000e+00 0.0000000e+00 2.0000000e-02 0.0000000e+00
 2.0000000e-02 0.0000000e+00 0.0000000e+00 2.2000000e-01 5.1794304e-05
 2.6170648e-05]",1.0677072010003032e-05
0,"[1.8000002e-01 0.0000000e+00 0.0000000e+00 2.0000000e-02 0.0000000e+00
 2.0000000e-02 0.0000000e+00 0.0000000e+00 2.3999999e-01 5.5206776e-05
 2.9690087e-05]",-3.4659540746360967e-06
1,"[2.0000002e-01 0.0000000e+00 0.0000000e+00 2.0000000e-02 0.0000000e+00
 2.0000000e-02 0.0000000e+00 0.0000000e+00 2.5999999e-01 5.6950536e-05
 3.3943812e-05]",-2.9987436672672667e-06
1,"[2.2000003e-01 0.0000000e+00 0.0000000e+00 2.0000000e-02 0.0000000e+00
 2.0000000e-02 0.0000000e+00 0.0000000e+00 2.8000000e-01 5.6688390e-05
 3.2014690e-05]",1.0956344008445778e-06
1,"[2.4000002e-01 0.0000000e+00 0.0000000e+00 2.0000000e-02 0.0000000e+00
 2.0000000e-02 0.0000000e+00 0.0000000e+00 3.0000001e-01 4.8624985e-05
 2.3541646e-05]",8.26822532806545e-06
8,"[2.4000002e-01 0.0000000e+00 0.0000000e+00 2.0000000e-02 0.0000000e+00
 2.0000000e-02 0.0000000e+00 2.0000000e-02 3.1999999e-01 6.8745030e-05
 4.1087944e-05]",-1.883316943887621e-05
1,"[2.6000002e-01 0.0000000e+00 0.0000000e+00 2.0000000e-02 0.0000000e+00
 2.0000000e-02 0.0000000e+00 2.0000000e-02 3.4000000e-01 4.2603031e-05
 2.2708640e-05]",2.226064965128899e-05
1,"[2.8000003e-01 0.0000000e+00 0.0000000e+00 2.0000000e-02 0.0000000e+00
 2.0000000e-02 0.0000000e+00 2.0000000e-02 3.6000001e-01 6.0637391e-05
 3.1777392e-05]",-1.3551555857993666e-05
1,"[3.000000e-01 0.000000e+00 0.000000e+00 2.000000e-02 0.000000e+00
 2.000000e-02 0.000000e+00 2.000000e-02 3.800000e-01 7.311647e-05
 3.455379e-05]",-7.6277384394779765e-06
1,"[3.2000002e-01 0.0000000e+00 0.0000000e+00 2.0000000e-02 0.0000000e+00
 2.0000000e-02 0.0000000e+00 2.0000000e-02 4.0000001e-01 4.9507798e-05
 2.6106964e-05]",1.6027748221531507e-05
1,"[3.4000003e-01 0.0000000e+00 0.0000000e+00 2.0000000e-02 0.0000000e+00
 2.0000000e-02 0.0000000e+00 2.0000000e-02 4.1999999e-01 5.4501368e-05
 3.4034012e-05]",-6.460309401154515e-06
0,"[3.4000003e-01 0.0000000e+00 0.0000000e+00 2.0000000e-02 0.0000000e+00
 2.0000000e-02 0.0000000e+00 2.0000000e-02 4.4000000e-01 7.1214563e-05
 4.5899360e-05]",-1.4289271552115677e-05
1,"[3.6000004e-01 0.0000000e+00 0.0000000e+00 2.0000000e-02 0.0000000e+00
 2.0000000e-02 0.0000000e+00 2.0000000e-02 4.6000001e-01 5.9931899e-05
 3.3004741e-05]",1.2088643251918253e-05
1,"[3.8000005e-01 0.0000000e+00 0.0000000e+00 2.0000000e-02 0.0000000e+00
 2.0000000e-02 0.0000000e+00 2.0000000e-02 4.7999999e-01 1.1132301e-04
 6.0444287e-05]",-3.9415329697076234e-05
1,"[4.0000004e-01 0.0000000e+00 0.0000000e+00 2.0000000e-02 0.0000000e+00
 2.0000000e-02 0.0000000e+00 2.0000000e-02 5.0000000e-01 1.3684983e-04
 7.7613557e-05]",-2.1348050397355105e-05
4,"[4.0000004e-01 0.0000000e+00 0.0000000e+00 3.9999999e-02 0.0000000e+00
 2.0000000e-02 0.0000000e+00 2.0000000e-02 5.1999998e-01 7.7307654e-05
 4.8047787e-05]",4.455397993791848e-05
1,"[4.2000005e-01 0.0000000e+00 0.0000000e+00 3.9999999e-02 0.0000000e+00
 2.0000000e-02 0.0000000e+00 2.0000000e-02 5.4000002e-01 4.6036363e-05
 1.7612372e-05]",3.085335178766399e-05
1,"[4.4000006e-01 0.0000000e+00 0.0000000e+00 3.9999999e-02 0.0000000e+00
 2.0000000e-02 0.0000000e+00 2.0000000e-02 5.6000000e-01 3.9508799e-05
 1.5892056e-05]",4.123941292054952e-06
