action_level_PV,action_level_Substation1,action_level_Substation2,action_level_Compressor1,action_level_Compressor2,action_level_Compressor3,action_level_ThermalUnit,action_level_LNG,intended_height_PV,intended_height_Substation1,intended_height_Substation2,intended_height_Compressor1,intended_height_Compressor2,intended_height_Compressor3,intended_height_ThermalUnit,intended_height_LNG,executed_height_PV,executed_height_Substation1,executed_height_Substation2,executed_height_Compressor1,executed_height_Compressor2,executed_height_Compressor3,executed_height_ThermalUnit,executed_height_LNG,weight_W_g,weight_W_e,weight_W_ge,weight_W_gs,weight_W_ee,weight_W_es,cost_PV,cost_Substation1,cost_Substation2,cost_Compressor1,cost_Compressor2,cost_Compressor3,cost_ThermalUnit,cost_LNG,econ_impact,social_impact,action_gain,climate_drift,prev_loss,base_loss,new_loss,repeat_penalty,cost_penalty,normalized_cost,repeat_penalty_assets,trimmed_assets,total_cost,unused_budget,sea_level_offset,sea_level_delta,climate_scenario,reward,obs_json,year,episode,step_in_episode
5,2,0,0,0,2,0,0,2.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8,0.2,0.466667,0.533333,0.466667,0.533333,216202.4,88181.63,0.0,0.0,0.0,50911.688,0.0,0.0,0.00780836446210742,0.0037281032418832183,0.0015208000531014383,0.0001908495341988543,0.004199204118386205,0.0043900536525850594,0.002869253599483621,0.0,1.421182875,0.7105914375,[],[],355295.71875,144704.28125,0.15328671038150787,0.15328671038150787,SSP5-8.5,5.228569719512921,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.005202040076255798, 0.0038093512412160635]",0,0,0
5,0,0,0,0,0,0,0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.433333,0.566667,0.433333,0.566667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0079644990619272,0.003907717647962272,0.0,0.00010241511324353978,0.002827129341891503,0.0029295444551350426,0.0029295444551350426,-1.0,0.0,0.0,[0],[],0.0,500000.0,0.21105779707431793,0.05777108669281006,SSP5-8.5,-1.5120755662176988,"[0.011111111380159855, 0.004444444552063942, 0.0, 0.0, 0.0, 0.004444444552063942, 0.0, 0.0, 0.06666667014360428, 0.019160838797688484, 0.00390418223105371, 0.00186405167914927]",5,0,1
5,2,0,0,0,0,0,1,2.5,1.0,0.0,0.0,0.0,0.0,0.0,0.5,2.5,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.8,0.2,0.4,0.6,0.4,0.6,216202.4,88181.63,0.0,0.0,0.0,0.0,0.0,54282.16,0.006995824631303549,0.002243501934572123,0.0006148126558004584,5.1426535772386775e-05,0.002886553327832536,0.0029379798636049227,0.0023231672078044643,0.0,1.43466475,0.717332375,[],[],358666.1875,141333.8125,0.278674840927124,0.06761704385280609,SSP5-8.5,1.382265850140358,"[0.011111111380159855, 0.004444444552063942, 0.0, 0.0, 0.0, 0.004444444552063942, 0.0, 0.0, 0.13333334028720856, 0.02638222463428974, 0.0039822496473789215, 0.001953858882188797]",10,0,2
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.366667,0.633333,0.366667,0.633333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006787217687815428,0.0022179167790454812,0.0,-4.313296130489417e-05,0.0022738339962059062,0.002230701034901012,0.002230701034901012,0.0,0.0,0.0,[],[],0.0,500000.0,0.36945390701293945,0.09077906608581543,SSP5-8.5,0.21566480652447087,"[0.02222222276031971, 0.008888889104127884, 0.0, 0.0, 0.0, 0.004444444552063942, 0.0, 0.002222222276031971, 0.20000000298023224, 0.0348343551158905, 0.0034979123156517744, 0.0011217509163543582]",15,0,3
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.333333,0.666667,0.333333,0.666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007190291536971927,0.002392663503997028,0.0,0.000144288903424761,0.002184355363121738,0.0023286442665464992,0.0023286442665464992,0.0,0.0,0.0,[],[],0.0,500000.0,0.40057528018951416,0.031121373176574707,SSP5-8.5,-0.7214445171238051,"[0.02222222276031971, 0.008888889104127884, 0.0, 0.0, 0.0, 0.004444444552063942, 0.0, 0.002222222276031971, 0.2666666805744171, 0.04618173837661743, 0.003393608843907714, 0.0011089583858847618]",20,0,4
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.3,0.7,0.3,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006981653859838843,0.00234520660887938,0.0,-5.3766649329914287e-05,0.002279269893586917,0.002225503244257003,0.002225503244257003,0.0,0.0,0.0,[],[],0.0,500000.0,0.5230856537818909,0.12251037359237671,SSP5-8.5,0.2688332466495714,"[0.02222222276031971, 0.008888889104127884, 0.0, 0.0, 0.0, 0.004444444552063942, 0.0, 0.002222222276031971, 0.3333333432674408, 0.05007191002368927, 0.003595145884901285, 0.0011963318102061749]",25,0,5
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.266667,0.733333,0.266667,0.733333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007221993990242481,0.00253937863453757,0.0,0.0001248889103260798,0.002178274855597537,0.0023031637659236166,0.0023031637659236166,0.0,0.0,0.0,[],[],0.0,500000.0,0.6308752298355103,0.10778957605361938,SSP5-8.5,-0.6244445516303989,"[0.02222222276031971, 0.008888889104127884, 0.0, 0.0, 0.0, 0.004444444552063942, 0.0, 0.002222222276031971, 0.4000000059604645, 0.06538570672273636, 0.0034908270463347435, 0.001172603340819478]",30,0,6
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.233333,0.766667,0.233333,0.766667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007384356809780002,0.002597570914076641,0.0,5.6394765134206836e-05,0.0022553853482697524,0.0023117801134039592,0.0023117801134039592,0.0,0.0,0.0,[],[],0.0,500000.0,0.6611928939819336,0.03031766414642334,SSP5-8.5,-0.2819738256710342,"[0.02222222276031971, 0.008888889104127884, 0.0, 0.0, 0.0, 0.004444444552063942, 0.0, 0.002222222276031971, 0.46666666865348816, 0.07885940372943878, 0.0036109969951212406, 0.0012696892954409122]",35,0,7
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.2,0.8,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007166218711063266,0.0025019765889737755,0.0,-9.113474089308743e-05,0.002262772263408369,0.0021716375225152816,0.0021716375225152816,0.0,0.0,0.0,[],[],0.0,500000.0,0.7727441191673279,0.11155122518539429,SSP5-8.5,0.45567370446543715,"[0.02222222276031971, 0.008888889104127884, 0.0, 0.0, 0.0, 0.004444444552063942, 0.0, 0.002222222276031971, 0.5333333611488342, 0.0826491117477417, 0.0036921785213053226, 0.0012987854424864054]",40,0,8
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.166667,0.833333,0.166667,0.833333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007462903391569853,0.002686652704142034,0.0,0.0001315199195333328,0.0021244058896838854,0.002255925809217218,0.002255925809217218,0.0,0.0,0.0,[],[],0.0,500000.0,0.8897969126701355,0.11705279350280762,SSP5-8.5,-0.657599597666664,"[0.02222222276031971, 0.008888889104127884, 0.0, 0.0, 0.0, 0.004444444552063942, 0.0, 0.002222222276031971, 0.6000000238418579, 0.09659301489591599, 0.0035831094719469547, 0.0012509883381426334]",45,0,9
